Week no.,WK 27,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,30/03/19,,31/03/19,,01/04/19,,02/04/19,,03/04/19,,04/04/19,,05/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,,05/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD EAT,21460,BP,BP Chicken & Stuffing Skillet x4,BP,P+3,Skillet,167,164,129,144,157,188,143,160,103,120,144,168,103,112,,,,1016,1056,992,264,164,144,188,160,120,168,112,,0,,,,,,,,4,41,36,47,40,30,42,28,264,OK
COLD EAT,21461,BP,BP Egg Mayo Skillet x4,BP,P+3,Skillet,163,152,130,132,180,200,143,152,112,108,153,164,106,108,,,,880,1016,1017,254,152,132,200,152,108,164,108,,0,,,,,,,,4,38,33,50,38,27,41,27,254,OK
COLD EAT,21462,BP,BP Cheese Ploughmans Skillet x4,BP,P+3,Skillet,164,172,136,148,174,184,140,144,119,116,139,136,108,104,,,,1024,1004,1012,251,172,148,184,144,116,136,104,,0,,,,,,,,4,43,37,46,36,29,34,26,251,OK
COLD EAT,21463,BP,BP Cheese & Onion Skillet x4,BP,P+3,Skillet,167,172,143,140,177,160,143,156,119,112,146,164,114,124,,,,1060,1028,1066,257,172,140,160,156,112,164,124,,0,,,,,,,,4,43,35,40,39,28,41,31,257,OK
COLD EAT,21465,BP,BP Prawn Mayo Skillet x4,BP,P+3,Skillet,134,120,115,124,130,128,119,124,84,84,123,132,87,92,,,,720,804,843,201,120,124,128,124,84,132,92,,0,,,,,,,,4,30,31,32,31,21,33,23,201,OK
COLD EAT,21466,BP,BP Tuna Sweetcorn Skillet x4,BP,P+3,Skillet,159,156,138,136,175,180,140,152,108,120,148,160,109,120,,,,1040,1024,1032,256,156,136,180,152,120,160,120,,0,,,,,,,,4,39,34,45,38,30,40,30,256,OK
COLD EAT,21467,BP,BP Chicken Salad Skillet x4,BP,P+3,Skillet,178,168,141,144,175,192,146,160,116,140,149,180,122,116,,,,916,1100,1091,275,168,144,192,160,140,180,116,,0,,,,,,,,4,42,36,48,40,35,45,29,275,OK
COLD EAT,21468,BP,BP Chicken & Bacon Skillet x4,BP,P+3,Skillet,184,180,166,172,194,212,165,180,136,128,165,196,133,144,,,,1216,1212,1211,303,180,172,212,180,128,196,144,,0,,,,,,,,4,45,43,53,45,32,49,36,303,OK
COLD EAT,21471,BP,BP BLT Skillet x4,BP,P+3,Skillet,171,176,151,152,185,212,148,160,118,120,162,156,125,124,,,,928,1100,1091,275,176,152,212,160,120,156,124,,0,,,,,,,,4,44,38,53,40,30,39,31,275,OK
COLD EAT,21732,BP,BP Ham & Cheese Skillet x4,BP,P+3,Skillet,159,172,148,156,190,204,157,172,128,128,170,180,120,124,,,,1100,1136,1108,284,172,156,204,172,128,180,124,,0,,,,,,,,4,43,39,51,43,32,45,31,284,OK
COLD EAT,21733,BP,BP Chicken Caesar Wrap x4,BP,P+3,Wrap,125,148,103,116,148,156,112,108,92,112,119,144,98,96,,,,868,880,843,220,148,116,156,108,112,144,96,,0,,,,,,,,4,37,29,39,27,28,36,24,220,OK
HOT EAT,21746,BP,BP All Day Breakfast Baguette x4,BP,P+6,Alternative,1469,1548,1760,1704,1416,1200,1504,1480,1545,1516,1534,1444,1738,2000,,,,11136,10892,10674,2723,1548,1704,1200,1480,1516,1444,2000,,0,,,,,,,,4,387,426,300,370,379,361,500,2723,OK
HOT EAT,21758,BP,BP Sausage Bap x4,BP,P+7,Alternative,1672,1668,1923,1720,1579,1560,1741,1680,1662,1628,1704,1600,1919,2052,,,,12188,11908,11876,2977,1668,1720,1560,1680,1628,1600,2052,,0,,,,,,,,4,417,430,390,420,407,400,513,2977,OK
HOT EAT,21761,BP,BP Bacon Bap x4,BP,P+7,Alternative,1678,1652,1864,1756,1549,1500,1745,1680,1655,1652,1619,1500,1864,2076,,,,11824,11816,11676,2954,1652,1756,1500,1680,1652,1500,2076,,0,,,,,,,,4,413,439,375,420,413,375,519,2954,OK
